# clean: 5031 rows -- regenerate with `make baseline`
adapt:10186	confluence (verb)	->	confluence
adapt:11431	Roman name, e.g	->	Roman name
adapt:16286	to eat (verb)	->	to eat
adapt:19253	Roman gens name	->	Roman family name
adapt:21072	moisten, wet (verb)	->	moisten, wet
adapt:2150	around (preposition)	->	around
adapt:28024	Roman gens name of Marcius	->	Roman family name of Marcius
adapt:31281	to know (verb)	->	to know
adapt:31611	obeying (verb)	->	obeying
adapt:32765	Roman gens name of Opimius	->	Roman family name of Opimius
adapt:33453	of the palestra (adverb)	->	of the palestra
adapt:35806	bolt (verb)	->	bolt
adapt:36664	Roman gens name of Plautius	->	Roman family name of Plautius
adapt:37609	preface (verb)	->	preface
adapt:37610	preface (verb)	->	preface
adapt:42366	to salt down (verb)	->	to salt down
adapt:4596	to kiss (verb)	->	to kiss
adapt:4601	Roman name, e.g. Aurelius	->	Roman name
adapt:48996	three (verb)	->	three
adapt:49238	three (verb)	->	three
adapt:51206	Vitellian (adj.) of Vitellius	->	Vitellian of Vitellius
adapt:5313	twofold, double (adverb)	->	twofold, double
adapt:5672	Roman cognomen of the Brigantes	->	Roman surname of the Brigantes
adapt:6092	Roman cognomen	->	Roman surname
adapt:6093	Roman cognomen of Caesar's	->	Roman surname of Caesar's
adapt:6097	Roman cognomen of Caesar	->	Roman surname of Caesar
adapt:8218	around (verb)	->	around
adapt:8566	nail (verb)	->	nail
hard2:22953	indulgently (adverb)	->	indulgently
hard2:31360	cloud (noun)	->	cloud
hard:31360	cloud (noun)	->	cloud
main:10006	to stoop, let oneself down	->	to stoop
main:10011	with a condition attached, conditional	->	with a condition attached
main:10036	preparing, making of glass vessels	->	preparing
main:10037	preserving of fruits, seasoning, condiment	->	preserving of fruits, seasoning
main:10049	to tame completely, to curb	->	to tame completely
main:10052	to fall quite asleep (very rare)	->	to fall quite asleep
main:10077	binding together, close union, etc	->	binding together, close union
main:10096	that which destroys, a destroyer	->	that which destroys
main:10102	to cement, to solder together	->	to cement
main:10104	in a compact body, closely	->	in a compact body
main:10112	confessor of Christianity, a martyr	->	confessor of Christianity
main:10115	immediately, speedily, without delay, forthwith	->	immediately, speedily, without delay
main:10128	confident, trusting, sure of oneself	->	confident, trusting
main:10139	adj. bordering on, adjoining, contiguous	->	
main:10143	certainly, definitely, truly, indeed, truly	->	certainly, definitely, truly, indeed
