# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Aaron	brother of Moses
Abaddir	name of an Oriental deity
Abaddon	name of the angel of Tartarus
Abantius	of Abantia, another name of Eubooea
Abaris	Rutulian
Abaritanus	of Abaris, a place in Africa
Abas	twelfth king of Argos, son of Lynceus and Hypermnestra
Abatos	rocky island. in the Nile, not far from Philae
Abba1	Obba
Abbassus	town in Phrygia
Abdalonymus	Sidonian of royal descent
Abdera	town on the southern coast of Thrace
Abeatae	Abeatoe, inhabitants of A bea in Achaia
Abel	son of Adam, Vulg. —Hence, Abelica Virtus, Mythogr
Abella	town in Campania, near Nolu
Abellinum	city of the Hirpini, in Italy
Abellio	name of a Gallic deity, Inser
Abeona	goddess of departing children
Abii	Scythian tribe in Asia
Abnoba	mountain range in Germany
Aborigines	primeval Romans, the Aborigines, the nation
Absyrtus1	son of Aeetes, king of Colchis
Absyrtus2	river in Illyria which flows into the Adriatic Sea
Abydus	town in Mysia
Abyla	spur of a mountain in Africa
Academice	Academica, the Academics
Academus	Grecian hero
Acamas	son of Theseus and Phoedra
Acanthius	from Acanthus, a town in Macedonia
Acanthus2	town of Macedonia, now Erisso
Acarnan	pertaining to Acarnania, Acarnanian
Acarnania	most westerly province of Greece
Acastus	Son of Pelias, king of Thessaly
Acbarus	title of the Arabian kings
Acca	wife of the shepherd Faustulus
Acco	chieftain of the Senones
Accua	town of Apulia
Ace	town in Galilee, afterwards called Ptolemais or Acca
Acerrae	town in the interior of Campania
Acesines	river in India
Acesinus	pertaining to the river Acesinus in the Tauric Peninsula
Acesta	town in the N. W. part of Sicily
Acestes	mythical king of Sicily
Achaemenes	ancestor of the old Persian kings, grandfather of Cyrus
Achaemenides	companion of Ulysses
Achaemenius	Persian
Achaetus	river of Sicily
Achaeus1	Son of Xuthus, brother of Ion
Achaeus2	Belonging to Achaia
Achaia	province of Achaia
Acharnae	demus or borough of Attica
Acharrae	town of Thessaly
Achates2	river in the southern part of Sicily
Achates3	armor-bearer and faithful friend of Aeneas
Acheloias	daughter of Achelous
Achelois	daughter of Achelous
Acheloius	Pertaining to the river Achelous
Achelous	celebrated river of Middle Greece
Acherini	unknown people in Sicily
Acheron	stream of woe)
Acherontia	small town of Apulia, near the frontiers of Lucania
Acheronticus	belonging to the Acheron or the Lower World
Acheruns	frundes for frondes
Acherusius	Pertaining to the Acheron in Calabria
Achillas	murderer of Pompey
Achilleis	poem of Statius
Achillides	descendant of Achilles
Achivus	Achaean, Grecian
Acholla	town in Africa, in the vicinity of Thapsus
Achradina	part of the city of Syracuse
Acidalia	epithet of Venus, perhaps from the Fountain Acidalius
Acilianus	pertaining to Acilius
Acilius	name of several Romans
Acionna	Gallic deity
Acis1	river in Sicily
Acis2	one of the Cyclades
Acmon	companion of Aeneas
Acmonensis	pertaining to Acmonia, a town of Phrygia
Acmonides	one of Vulcan's workmen
Acontius	lover of Cydippe
Acontizomenos	title of a comedy of Naevius
Acrae	city of Sicily, on a lofty hill near Syracuse
Acraephia	town of Boeotia, now Kardhiza
Acraeus	dwelling on the heights
Acragas1	mountain on the S. W. coast of Sicily
Acragas2	celebrated graver
Acriae	town of Laconia
Acrillae	town in Sicily
Acrisione	daughter of Acrisius
Acrisioneus	pertaining to Acrisius
Acrisioniades	descendant of Acrisius
Acrisius	King of Argos, son of Abas
Acritas2	most southerly promontory in Messenia, now Capo di Gallo
Acroceraunia	very rocky promontory in Epirus
Acrocorinthus	citadel of Corinth, situated on a height
Acron	king of the Caeninenses
Acronius	part of Lake Constance, now the Ueberlingen Lake
Acronoma	unknown place in Lower Italy
Acrota	king of the Albani, brother of Romulus Silvius
Actaeon	grandson of Cadmus
Actaeus	pertaining to Attica, Attic, Athenian
Acte2	coastland or maritime country
Actiacus	relating to Actium
Actias	Attic, Athenian
Actium	promontory and town in Epirus, on the Ambracian Gulf
Actius1	pertaining to Actium
Actius2	proper name
Actor2	companion of Aeneas
Actorius2	Roman name
Aculeo	Roman surname in the gens Furia
Acusilas	Argive historian
Adad	name of the supreme god of the Assyrians
Adamiani	certain heretics who imitated the nakedness of Adam
Addua	river in Upper Italy
Adelphi	Brothers, a comedy of Terence
Adeona	tutelary goddess of new-comers
Adherbal	Numidian prince, the son of Micipsa
Adiabena	region in the northern part of ancient Assyria
Adiatorix	king of the Comani
Admetus	king of Pheroe, in Thessaly, the husband of Alcestis
Adolenda	name of a Roman goddess
Adoneus2	pertaining to Adonis
Adonia	festival of Adonis
Adoreus2	mountain of Galatia, in the neighborhood of Pessinus
Adramytteos	maritime town in Mysia
Adrana	river of Hesse, in Germany, now the Eder
Adrastea	daughter of Jupiter and Necessity
Adrasteus	pertaining to Adrastus
Adrastis	female descendant of Adrastus
Adrastus	king of Argos, father-in-law of Tydeus and Polynices
Aduatuca	fortress in the country of the Eburones, the Netherlands
Aduatuci	people of Cimbrian origin in Gallia Belgica
Aea	peninsula in Colchis, round which the Phasis flowed
Aeacideius	pertaining to the Aeacidoe
Aeacides	male descendant of Aeacus, an Aeacide
Aeacidinus	pertaining to the Aeacide
Aeacius	Aeacian
Aeacus	son of Jupiter by Europa, king of Aegina
Aeaea	island in the Tyrrhene Sea where the Circe
Aeaeus	Belonging to Aea, in Colchis, Colchian
Aeas	river of Epirus, Mela, 2, 3, 13
Aebura	city of Hispania Tarraconensis, now Cuerva
Aebutius	Roman family name
Aecae	city of Apulia, southeast of Luceria, now Troja
Aeculanum	city of the Hirpini in Samnium, now Le Grotte
Aedui	tribe in Gallia Celtica friendly to the Romans
Aeetaeus	belonging to Aeetes, king of Colchis
Aeetes	king of Colchis
Aegae	city of Cilicia, now Ayas
Aegaeon	giant-monster, the other name of Briareus
Aegaeus	Aegean
Aegates	three islands in the Mediterranean, west of Sicily
Aegeus1	son of Pand on, king of Athens
Aegiale	daughter or granddaughter of Adrastus, wife of Diomedes
Aegialeus	Son of Aeetes, brother of Medea, commonly called Absyrtus
Aegides	descendant of Aegeus
Aegimurus	island situated over against Carthage, now Zowamour or Zimbra
Aegina	island in the Saronic gulf
Aeginiensis	inhabitant of Aeginium
Aeginium	fortress in Thessaly, now Stagus
Aegira	town in Achaia
Aegisthus	son of Thyestes
Aegium	town in Achaia, one of the twelve Achoean cities
Aegle	nymph, daughter of Jupiter and Neoera
Aegon	Aegean Sea
Aegos	river and town in the Thracian Chersonesus
Aegyptiacus	Egyptian
Aegyptius	Egyptian
Aegyptus1	Egypt
Aegyptus2	king of Egypt, son of Belus
Aelianus	originating from an Aelius
Aelius	Roman family name.—
Aello	name of a harpy
Aemilianus	relating to the Aemilian gens, Aemilian
Aemilius1	Roman family name
Aemilius2	poet, the friend of Virgil and Ovid
Aenaria	island on the western coast of Campania
Aenea2	city of Chalcidice, in Macedonia, opposite Pydna
Aeneae Portus	harbor near Torone and Mount Athos
Aeneas	son of Venus and Anchises
Aeneis	Aeneid, Virgil's celebrated epic
Aeneius	of or pertaining to Aeneas
Aenesi	companions of Aeneas, Paul. ex
Aenianes	people of Thessalia, west of the Sinus Maliacus
Aenobarbus	family name of the Domitian gens
Aenus1	city of Thrace, south-east of the Palus Stentoris
Aenus2	river Inn
Aeoles	Aeolians
Aeolia	group of islands near Sicily, so called after Aeolus
Aeolicus	pertaining to the Aeolians, Aeolian, Aeolic
Aeolides	male descendant of Aeolus
Aeolis1	country in Asia Minor, north of Ionia
Aeolis2	female descendant of Aeolus
Aeolius	pertaining to Aeolus, Aeolia
Aeolus	god of the winds, son of Jupiter
Aepy	city of Elis, mentioned by Homer
Aequana	mountain range near Sorrentum
Aequi	warlike people of ancient Italy
Aequimaelium	open space in Rome below the Capitol
Aerope	wife of Atreus
Aesacus	son of Priam
Aesar	name of God among the Etruscans
Aeschines	disciple of Socrates
Aeschylus	first great tragic poet of Greece
Aesculanus	god of copper or copper money
Aesculapium	temple of Aesculapius
Aesculapius	son of Apollo and the nymph Coronis
Aesernia	town in Samnium, on the river Vulturnus, now Isernia
Aesis1	river in Umbria
Aesis2	town in Umbria on the river Aesis
Aeson	Thessalian prince, brother of king Pelias
Aesopicus	Aesopic
Aesopius	Aesopic, Aesopian
Aesopus	Aesop, the Greek fabulist of Phrygia
Aestii	Germanic people on the southeast or east of the Baltic
Aesula	town in the neighborhood of Tibur
Aethiopia	Ethiopia
Aethiopissa	Ethiopian woman
Aethiops	sunburnt, --> dark-complexioned races above Egypt]
Aethon	name of a horse
Aethra2	Daughter of Oceanus and Tethys, mother of Hyas
Aetna	celebrated volcano of Sicily, now Mongibello or Aetna
Aetnaeus	Pertaining to Aetna
Aetnensis	pertaining to the town of Aetna
Aetolia	province in Middle Greece, between Locri and Acarnania
Aex	name of a rocky island in the Aegean Sea
Afer	African
Afranius	Roman family name.—
Africa	Libya, the territory of Carthage
Agamedes	brother of Trophonius
Agamemnon	king of Mycenoe, son of Atreus and of Aerope
Aganippe	fountain in Boeotia, on Mount Helicon
Agathocles	king of Sicily, son of a potter
Agathyrna	town on the northern coast of Sicily
Agathyrsi	Scythian people
Agave	daughter of Cadmus and Harmonia, wife of Echion
Agelastus	surname of M. Crassus
Agendicum	town in Gallia Lugdunensis
Agenor	son of Belus, king of Phoenicia
Agesilaus	One of the most valiant of the Spartan kings
Agis	king of Sparta, murdered by his own subjects
Aglaia	one of the graces
Aglaophon	celebrated Greek painter, painter, before Zeuxis
Aglauros	daughter of Cecrops
Agnalia	Roman festival
Agoce	town in Aethiopia, on the borders of Egypt
Agonalia	festival in honor of Janus
Agonalis	pertaining to the Agonalia
Agonensis	one of the gates of Rome
Agricola2	Roman proper name
Agrigentum	one of the largest and richest cities
Agrippa	Roman family name
Agrippina	name of several Roman women
Agrius2	son of Parthaon
Agyieus	epithet of Apollo, as guardian deity of the streets
Agylla	town in Etruria, called later Caere, now Cervetri
Agyrium	very old town in Sicily, not far from Enna
Ahala	Roman family name
Aharna	town in Etruria
Aius Loquens	deity among the Romans
Ajax	name of two Greeks renowned for their bravery
Alabanda	city in the interior of Caria
Alabastron	city of Egypt in the Thebais
Alabis	river in Sicily
Alanus	of or pertaining to the Alani
Alaricus	Alaric, a king of the Goths
Alasi	tribe of Libya
Alastor	One of the companions of Sarpedon, king of Lycia
Alazon2	river in Albania, now Alasan
Alba Aemilus	confidant of C. Verres
Alba2	mother city of Rome, built by Ascanius
Alba3	name of a king in Alba Longa
Alba4	river in Hispania Tarraconensis
Albana	road leading to Capua
Albania	province on the coast of the Caspian Sea
Albanus	Pertaining to the town of Alba, Alban
Albianus	pertaining to Albius
Albinius	Roman family name
Albinovanus	Roman proper name
Albinus2	Roman family name
Albion1	ancient name for Britain, in Ptol
Albion2	son of Neptune
Albis	river of Germany, now the Elbe
Albius	Roman family name. —Albius Tibullus
Albona	town in Liburnia
Albula	earlier name for the river Tiber, in Middle Italy
Albunea	fountain at Tibur gushing up between steep rocks
Alburnus2	mountain in Lucania, not far from the river Silarus
Alcaeus	renowned lyric poet of Mitylene, contemporary with Sappho
Alcamenes	Greek sculptor of the school of Phidias
Alcander	Trojan
Alcathoe	castle of Megara, named after Alcathous
Alcathous	son of Pelops, founder of Megara
Alce	town in Hispania Tarraconensis, now Alcazar de S. Juan
Alcestis	daughter of Pelias
Alceus	father of Amphitryo and grandfather of Hercules
Alcides	male descendant of Alceus
Alcimachus	famous Greek painter
Alcimede	daughter of Autolycus, wife of Aeson
Alcimedon	name of an artist in wood-carving
Alcinous	king of the Phoeacians, by whom Ulysses
Alcis1	appellation of Minerva among the Macedonians
Alcis2	deity of the Naharvali
Alcisthene	Greek female painter
Alcithoe	one of the daughters of Minyas in Thebes
Alcmaeo1	son of Amphiaraus and Eriphyle
Alcmaeo2	Pythagorean philosopher of Croton
Alcmanium	kind of verse named after the Greek poet Alcman
Alcmena	daughter of Electryon, wife of Amphitryo
Alcyone	daughter of Aeolus
Alecto	name of one of the three furies
Aleius	of or pertaining to Ale in Lycia
Alemanni	German tribes
Alemon	Greek
Alemona	tutelar goddess of the foetus
Alemonides	son of Alemon
Aleria	oldest town of the island Corsica
Alesia	city of the Mandubii in Celtic Gaul
Alethia	one of the Aeons of Valentinus
Aletinus	inhabitant of the town Aletium
Aletrium	town in Latium, now Alatri
Aleuas	tyrant of Larissa
Aleus2	Alean or Alic Minerva, so called either from Aleus
Alexamenus	leader of the Aetolians
Alexander	name of many persons of antiquity
Alexandrea	Alexandria, Mull.)
Algidensis	growing upon Mount Algidus
Algidus2	high snow-capped mountain
Alidensis	of or pertaining to Alida or Alinda
Aliphera	town in Arcadia
Alis2	town in Achaia
Alisales	tribe of Spain
Aliso	fortress built by Drusus near the present Wesel
Alisontia	tributary of the Moselle, now the Eltz
Alius1	Elian
Allia	little river eleven miles northwards from Rome, near Crustumerium
Allifae	town of Samnium, in a pleasant valley
Allobrox	Allobroges, in Ptol
Almo	small stream, almost entirely dry in summer
Aloeus	name of a giant, father of Otus and Ephialtes
Aloidae	sons of Aloeus
Alone	island between Teos and Lebedus
Aloni	people of Mesopotamia
Alope	Daughter of Cercyon
Alpes	High mountains
Alpheias	nymph and fountain Arethusa
Alphesiboea	daughter of the Arcadian king Phegeus
Alpheus	chief river in the Peloponnesus, now Rufia
Alpicus	Alpine
Alpinus	of or pertaining to the Alps, Alpine
Alsiensis	of or pertaining to the city of Alsium
Alsius2	belonging to the maritime city Alsium, in Etruria
Altellus	surname of Romulus, Paul. ex
Althaea2	daughter of Thestius, wife of Oeneus, king of Calydon
Altinum	town in the north of Italy, near Venice
Aluntium	town in the northern part of Sicily
Alyattes	king of Lydia, father of Croesus
Alymon	father of Iphimedia
