# form	lemma	key	headword	gloss	freq
quem	quis	quis1	quis	who?	9661
nobis	nōs	nos	nōs	we, us	5054
tua	tū	tu	tū	thou, you, you (singular)	3238
aliud	alius	Alius1	Ālĭus	elian, native of Elis	3014
possit	possum	possum	possum	to be able	2705
ipso	ipse	ipse	ipse	self, in person, himself	2676
huic	hic	hic	hīc	this (near or present)	2525
nostra	nōs	nos	nōs	we, us	2460
romanis	roma	Roma	Rōma	city of Rome	2216
suos	suus	suus	sŭus	possessive pronoun, his, her	2167
nostri	nōs	nos	nōs	we, us	1777
alterum	alter	alter	alter	other of two	1732
nostris	noster	noster	noster	our own, ours	1640
altera	alter	alter	alter	other of two	1583
mortem	mors	mors	mors	death, natural or violent	1517
possunt	possum	possum	possum	to be able	1448
hos	homo	homo	hŏmo	human being, man	1395
sumus	sum	sum1	sum	to be, exist, live	1393
tuae	tū	tu	tū	thou, you, you (singular)	1357
hi	hic	hic	hīc	this (near or present)	1273
domi	domus	domus	dŏmus	house, home, dwelling, residence	1257
scire	scio	scio	scĭo	to know, to understand	1223
morte	mors	mors	mors	death, natural or violent	1206
duobus	duo	duo	dŭŏ	two, both, the two	1203
ipsos	ipse	ipse	ipse	self, in person, himself	1193
nostrum	nōs	nos	nōs	we, us	1185
possent	possum	possum	possum	to be able	1144
meam	meus	meus	mĕus	my, mine	1142
poterat	potens	potens	pŏtens	to be able	1133
coepit	coepio	coepio	coepĭo	to begin, commence, undertake	1124
meae	meus	meus	mĕus	my, mine	1108
nostro	nōs	nos	nōs	we, us	1098
duas	duo	duo	dŭŏ	two, both, the two	1063
suorum	suus	suus	sŭus	possessive pronoun, his, her	1024
unius	unus	unus	ūnus	one, a single	1016
periculo	periculum	periculum	pĕrīcŭlum	trial, experiment, attempt, essay	988
duos	duo	duo	dŭŏ	two, both, the two	947
alterius	alter	alter	alter	other of two	932
unam	unus	unus	ūnus	one, a single	924
maiore	magnus	magnus1	magnus	great, large, vast, extensive	890
quarum	quī	qui1	qui	who? which? what? what kind	842
totius	tōt	tot	tŏt	so many	795
diceret	dico	dico1	dĭco	to proclaim, make known	790
possint	possum	possum	possum	to be able	785
duae	duo	duo	dŭŏ	two, both, the two	769
longius	longus	longus	longus	long	754
maiores	magister	magister	măgister	master, chief, head, superior	746
milibus	mille	mille	mille	thousand, thousands	734
nostros	noster	noster	noster	our own, ours	727
quadam	quod	quod1	quod	that, in that, because	708
cuique	cuius	cujus1	cūjus	whose? of whom? interrogative pronoun	705
accepit	accipio	accipio	ac-cĭpĭo	to accept, receive	685
quemquam	quis?	quis1	quis	who?	673
aliquem	aliquis	aliquis	ălĭquis	some one, something	654
maiorem	magister	magister	măgister	master, chief, head, superior	647
loqui	loquor	loquor	lŏquor	to speak, talk, say	642
duabus	duo	duo	dŭŏ	two, both, the two	637
maioribus	maior	major	mājor	great, large, vast, extensive	624
nostram	noster	noster	noster	our own, ours	618
cuiusque	cuius	cujus1	cūjus	whose? of whom? interrogative pronoun	618
fertur	fero	fero	fĕro	carry, bear, bring	611
labore	labor	labor1	lābor	to slide or fall gently	609
tenet	tenere	tenere	tĕnĕrē	soft, delicate, tender	607
prodest	prodeō	prodeo	prōdĕo	to go or come forth	568
domos	domus	domus	dŏmus	house, home, dwelling, residence	568
possumus	possum	possum	possum	to be able	567
istius	is	is	is	he, she, it	564
priore	prīus	prius	prĭus	former, previous, prior, first	559
alteram	alter	alter	alter	other of two	557
alteri	alter	alter	alter	other of two	552
possis	possum	possum	possum	to be able	551
negat	negō	nego	nĕgo	to deny, refuse	551
quemque	quī	qui1	qui	who? which? what? what kind	550
reliquit	relinquo	relinquo	rĕ-linquo	to leave behind	550
sim	simus?	simus	sīmus	flat‑nosed, snub‑nosed	542
rediit	reor	reor	rĕor	to reckon, calculate	535
tenuit	tenere	tenere	tĕnĕrē	soft, delicate, tender	525
romanae	roma	Roma	Rōma	city of Rome	524
